=== linkage suite started at 2026-04-27 17:01:14 ===
2026-04-27 19:13:52 | Lung | sdgca | ward | skipped_existing
2026-04-27 19:13:52 | Lung | sdgca_modified | ward | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca | average | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca_modified | complete | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca | single | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca_modified | single | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca | ward | skipped_existing
2026-04-27 19:13:52 | orlraws10P | sdgca_modified | ward | skipped_existing
2026-04-27 19:13:52 | custom_densired_dataset | sdgca | average | skipped_existing
2026-04-27 19:13:52 | custom_densired_dataset | sdgca_modified | average | skipped_existing
2026-04-27 19:13:52 | custom_densired_dataset | sdgca | complete | skipped_existing
2026-04-27 19:13:52 | custom_densired_dataset | sdgca_modified | complete | skipped_existing
